"","IE_9_4.1","IE_9_4.2","IE_9_4.3","IE_9_4.4","IE_9_4.5","IE_9_4.6","IE_9_4.7","IE_9_4.8","IE_9_4.9","IE_9_4.10","IE_9_4.11","IE_9_4.12","IE_9_4.13","IE_9_4.14"
"AGO 2014",110.03,108.41,"_",99.85,101.71,108.17,106.58,"_",98.53,110.40,109.06,"_","_",101.58
"SEP 2014",110.25,109.20,101.45,100.12,101.63,108.48,107.45,99.80,98.88,110.73,109.92,102.45,115.21,101.89
"OCT 2014",110.16,109.29,"_",100.23,101.59,108.43,107.58,"_",99.03,110.66,110.07,"_","_",101.95
"NOV 2014",110.19,109.28,"_",99.77,101.63,108.43,107.53,"_",98.53,110.67,110.01,"_","_",101.32
"DIC 2014",110.14,108.65,101.33,99.34,101.66,108.34,106.88,99.72,98.08,110.65,109.33,102.42,114.50,101.01
"ENE 2015",109.95,107.53,"_",98.71,101.51,108.31,105.93,"_",97.60,110.60,108.52,"_","_",100.44
"FEB 2015",110.09,106.53,"_",98.75,101.13,108.87,105.35,"_",98.01,111.06,107.83,"_","_",100.68
"MAR 2015",109.91,107.42,101.16,99.06,100.83,109.00,106.53,100.02,98.61,111.17,108.91,102.76,114.23,101.02
"ABR 2015",110.07,107.84,"_",97.92,100.75,109.25,107.04,"_",97.56,111.40,109.44,"_","_",99.85
"MAY 2015",110.28,108.12,"_",98.96,100.81,109.40,107.25,"_",98.53,111.58,109.67,"_","_",100.76
"JUN 2015",110.37,108.44,100.35,98.52,100.86,109.43,107.51,99.55,98.04,111.65,109.94,102.32,114.84,100.25
"JUL 2015",110.15,107.06,"_",99.07,100.71,109.38,106.31,"_",98.74,111.58,108.77,"_","_",100.82
"AGO 2015",110.11,106.68,"_",98.48,100.83,109.20,105.80,"_",98.03,111.42,108.22,"_","_",100.19
"SEP 2015",110.17,107.19,100.07,98.78,101.02,109.06,106.11,99.24,98.14,111.31,108.50,101.98,113.17,100.29
"OCT 2015",109.89,107.46,"_",98.38,101.04,108.75,106.35,"_",97.73,111.02,108.75,"_","_",99.91
"NOV 2015",109.40,107.62,"_",98.08,100.74,108.60,106.83,"_",97.72,110.85,109.27,"_","_",99.81
"DIC 2015",109.42,107.46,100.28,"_",100.99,108.35,106.41,99.38,"_",110.66,108.83,102.15,111.74,"_"
"ENE 2016",109.54,106.46,"_","_",101.37,108.05,105.01,"_","_",110.39,107.55,"_","_","_"
"FEB 2016","_",105.91,"_","_",101.60,"_",104.25,"_","_","_",106.76,"_","_","_"
"MAR 2016","_","_","_","_",101.57,"_","_","_","_","_","_","_","_","_"
